0.973235	0.00862463	0.00857512	0.00956522	
0.967429	0.0115904	0.00939016	0.0115904	
0.0126368	0.96209	0.0115367	0.0137369	
0.0145533	0.0145533	0.0159677	0.954926	
0.943777	0.0209413	0.0165408	0.0187411	
0.0230239	0.930928	0.0219238	0.024124	
0.0276299	0.0276299	0.0290443	0.915696	
0.894389	0.0374037	0.0330033	0.0352035	
0.0437489	0.044849	0.0426488	0.868753	
0.055607	0.837579	0.0523067	0.0545069	
0.0672647	0.0672647	0.795377	0.0700935	
0.109316	0.104366	0.106841	0.679477	
0.134689	0.600334	0.131389	0.133589	
0.166823	0.166823	0.168237	0.498117	
0.211537	0.212637	0.208237	0.367589	
0.211537	0.369789	0.208237	0.210437	
0.166823	0.495288	0.168237	0.169652	
0.597348	0.132803	0.134217	0.135632	
0.106566	0.107666	0.105466	0.680303	
0.0691506	0.0702507	0.0658502	0.794749	
0.055607	0.837579	0.0523067	0.0545069	
0.0429631	0.0429631	0.868282	0.045792	
0.0379538	0.0330033	0.893564	0.0354785	
0.916403	0.0262155	0.0286907	0.0286907	
0.0230239	0.024124	0.0219238	0.930928	
0.943777	0.0209413	0.0165408	0.0187411	
0.952883	0.0164392	0.014239	0.0164392	
0.0126368	0.0137369	0.959889	0.0137369	
0.970179	0.00829005	0.0107653	0.0107653	
0.00878524	0.973644	0.00768513	0.00988535	
